Var1,Var2
0,0
0.01,0
0.02,0
0.03,0
0.04,0
0.05,0
0.06,0
0.07,0
0.08,0
0.09,0
0.1,0
0.11,0
0.12,0
0.13,0
0.14,0
0.15,0
0.16,0
0.17,0
0.18,0
0.19,0
0.2,0
0.21,0
0.22,0
0.23,0
0.24,0
0.25,0
0.26,0
0.27,0
0.28,0
0.29,0
0.3,0
0.31,0
0.32,0
0.33,0
0.34,0
0.35,0
0.36,0
0.37,0
0.38,0
0.39,0
0.4,0
0.41,0
0.42,0
0.43,0
0.44,0
0.45,0
0.46,0
0.47,0
0.48,0
0.49,0
0.5,0
0.51,0
0.52,0
0.53,0
0.54,0
0.55,0
0.56,0
0.57,0
0.58,0
0.59,0
0.6,0
0.61,0
0.62,0
0.63,0
0.64,0
0.65,0
0.66,0
0.67,0
0.68,0
0.69,0
0.7,0
0.71,0
0.72,0
0.73,0
0.74,0
0.75,0
0.76,0
0.77,0
0.78,0
0.79,0
0.8,0
0.81,0
0.82,0
0.83,0
0.84,0
0.85,0
0.86,0
0.87,0
0.88,0
0.89,0
0.9,0
0.91,0
0.92,0
0.93,0
0.94,0
0.95,0
0.96,0
0.97,0
0.98,0
0.99,0
1,0
1.01,0
1.02,0
1.03,0
1.04,0
1.05,0
1.06,0
1.07,0
1.08,0
1.09,0
1.1,0
1.11,0
1.12,0
1.13,0
1.14,0
1.15,0
1.16,0
1.17,0
1.18,0
1.19,0
1.2,0
1.21,0
1.22,0
1.23,0
1.24,0
1.25,0
1.26,0
1.27,0
1.28,0.02
1.29,0.02
1.3,0.02
1.31,0.02
1.32,0.02
1.33,0.02
1.34,0.02
1.35,0.02
1.36,0.02
1.37,0.02
1.38,0.02
1.39,0.02
1.4,0.04
1.41,0.04
1.42,0.04
1.43,0.04
1.44,0.04
1.45,0.06
1.46,0.06
1.47,0.06
1.48,0.06
1.49,0.06
1.5,0.06
1.51,0.06
1.52,0.06
1.53,0.06
1.54,0.06
1.55,0.06
1.56,0.06
1.57,0.06
1.58,0.06
1.59,0.06
1.6,0.06
1.61,0.06
1.62,0.06
1.63,0.06
1.64,0.06
1.65,0.06
1.66,0.08
1.67,0.08
1.68,0.08
1.69,0.08
1.7,0.08
1.71,0.08
1.72,0.08
1.73,0.1
1.74,0.1
1.75,0.1
1.76,0.12
1.77,0.12
1.78,0.12
1.79,0.12
1.8,0.12
1.81,0.12
1.82,0.12
1.83,0.12
1.84,0.12
1.85,0.14
1.86,0.14
1.87,0.14
1.88,0.16
1.89,0.16
1.9,0.16
1.91,0.16
1.92,0.16
1.93,0.16
1.94,0.16
1.95,0.16
1.96,0.16
1.97,0.2
1.98,0.26
1.99,0.26
2,0.26
2.01,0.26
2.02,0.26
2.03,0.28
2.04,0.28
2.05,0.28
2.06,0.32
2.07,0.32
2.08,0.36
2.09,0.36
2.1,0.36
2.11,0.36
2.12,0.36
2.13,0.38
2.14,0.4
2.15,0.4
2.16,0.4
2.17,0.42
2.18,0.42
2.19,0.42
2.2,0.42
2.21,0.42
2.22,0.42
2.23,0.42
2.24,0.42
2.25,0.42
2.26,0.42
2.27,0.42
2.28,0.46
2.29,0.5
2.3,0.52
2.31,0.52
2.32,0.52
2.33,0.54
2.34,0.54
2.35,0.54
2.36,0.56
2.37,0.56
2.38,0.6
2.39,0.6
2.4,0.6
2.41,0.6
2.42,0.6
2.43,0.6
2.44,0.6
2.45,0.64
2.46,0.66
2.47,0.68
2.48,0.7
2.49,0.72
2.5,0.72
2.51,0.74
2.52,0.78
2.53,0.8
2.54,0.8
2.55,0.8
2.56,0.8
2.57,0.82
2.58,0.82
2.59,0.82
2.6,0.82
2.61,0.82
2.62,0.82
2.63,0.84
2.64,0.86
2.65,0.86
2.66,0.86
2.67,0.88
2.68,0.88
2.69,0.9
2.7,0.9
2.71,0.9
2.72,0.9
2.73,0.9
2.74,0.9
2.75,0.9
2.76,0.9
2.77,0.9
2.78,0.9
2.79,0.9
2.8,0.9
2.81,0.9
2.82,0.9
2.83,0.9
2.84,0.92
2.85,0.92
2.86,0.94
2.87,0.94
2.88,0.94
2.89,0.94
2.9,0.94
2.91,0.94
2.92,0.94
2.93,0.94
2.94,0.94
2.95,0.94
2.96,0.94
2.97,0.94
2.98,0.94
2.99,0.94
3,0.94
3.01,0.94
3.02,0.94
3.03,0.94
3.04,0.96
3.05,0.96
3.06,0.96
3.07,0.96
3.08,0.96
3.09,0.96
3.1,0.96
3.11,0.96
3.12,0.96
3.13,0.96
3.14,0.96
3.15,0.96
3.16,0.96
3.17,0.96
3.18,0.96
3.19,0.96
3.2,0.96
3.21,0.96
3.22,0.96
3.23,0.98
3.24,0.98
3.25,0.98
3.26,0.98
3.27,0.98
3.28,0.98
3.29,0.98
3.3,0.98
3.31,0.98
3.32,0.98
3.33,0.98
3.34,0.98
3.35,0.98
3.36,0.98
3.37,0.98
3.38,0.98
3.39,0.98
3.4,0.98
3.41,0.98
3.42,0.98
3.43,0.98
3.44,0.98
3.45,0.98
3.46,0.98
3.47,0.98
3.48,0.98
3.49,0.98
3.5,0.98
3.51,0.98
3.52,0.98
3.53,0.98
3.54,0.98
3.55,0.98
3.56,0.98
3.57,0.98
3.58,0.98
3.59,0.98
3.6,0.98
3.61,0.98
3.62,0.98
3.63,1
3.64,1
3.65,1
3.66,1
3.67,1
3.68,1
3.69,1
3.7,1
3.71,1
3.72,1
3.73,1
3.74,1
3.75,1
3.76,1
3.77,1
3.78,1
3.79,1
3.8,1
3.81,1
3.82,1
3.83,1
3.84,1
3.85,1
3.86,1
3.87,1
3.88,1
3.89,1
3.9,1
3.91,1
3.92,1
3.93,1
3.94,1
3.95,1
3.96,1
3.97,1
3.98,1
3.99,1
4,1
4.01,1
4.02,1
4.03,1
4.04,1
4.05,1
4.06,1
4.07,1
4.08,1
4.09,1
4.1,1
4.11,1
4.12,1
4.13,1
4.14,1
4.15,1
4.16,1
4.17,1
4.18,1
4.19,1
4.2,1
4.21,1
4.22,1
4.23,1
4.24,1
4.25,1
4.26,1
4.27,1
4.28,1
4.29,1
4.3,1
4.31,1
4.32,1
4.33,1
4.34,1
4.35,1
4.36,1
4.37,1
4.38,1
4.39,1
4.4,1
4.41,1
4.42,1
4.43,1
4.44,1
4.45,1
4.46,1
4.47,1
4.48,1
4.49,1
4.5,1
4.51,1
4.52,1
4.53,1
4.54,1
4.55,1
4.56,1
4.57,1
4.58,1
4.59,1
4.6,1
4.61,1
4.62,1
4.63,1
4.64,1
4.65,1
4.66,1
4.67,1
4.68,1
4.69,1
4.7,1
4.71,1
4.72,1
4.73,1
4.74,1
4.75,1
4.76,1
4.77,1
4.78,1
4.79,1
4.8,1
4.81,1
4.82,1
4.83,1
4.84,1
4.85,1
4.86,1
4.87,1
4.88,1
4.89,1
4.9,1
4.91,1
4.92,1
4.93,1
4.94,1
4.95,1
4.96,1
4.97,1
4.98,1
4.99,1
5,1
