Var1,Var2
0,0
0.01,0
0.02,0
0.03,0
0.04,0
0.05,0
0.06,0
0.07,0
0.08,0
0.09,0
0.1,0
0.11,0
0.12,0
0.13,0
0.14,0
0.15,0
0.16,0
0.17,0
0.18,0
0.19,0
0.2,0
0.21,0
0.22,0
0.23,0
0.24,0
0.25,0
0.26,0
0.27,0
0.28,0
0.29,0
0.3,0
0.31,0
0.32,0
0.33,0
0.34,0
0.35,0
0.36,0
0.37,0
0.38,0
0.39,0
0.4,0
0.41,0
0.42,0
0.43,0
0.44,0
0.45,0
0.46,0
0.47,0
0.48,0
0.49,0
0.5,0
0.51,0
0.52,0
0.53,0
0.54,0
0.55,0
0.56,0
0.57,0
0.58,0
0.59,0
0.6,0
0.61,0
0.62,0
0.63,0
0.64,0
0.65,0
0.66,0
0.67,0
0.68,0
0.69,0
0.7,0
0.71,0
0.72,0
0.73,0
0.74,0
0.75,0
0.76,0
0.77,0
0.78,0
0.79,0
0.8,0
0.81,0
0.82,0
0.83,0
0.84,0
0.85,0
0.86,0
0.87,0
0.88,0
0.89,0
0.9,0
0.91,0
0.92,0
0.93,0
0.94,0
0.95,0
0.96,0
0.97,0
0.98,0
0.99,0
1,0
1.01,0
1.02,0
1.03,0
1.04,0
1.05,0
1.06,0
1.07,0
1.08,0
1.09,0
1.1,0
1.11,0
1.12,0
1.13,0
1.14,0
1.15,0
1.16,0
1.17,0
1.18,0
1.19,0
1.2,0
1.21,0
1.22,0
1.23,0
1.24,0
1.25,0
1.26,0
1.27,0
1.28,0
1.29,0
1.3,0
1.31,0
1.32,0
1.33,0
1.34,0
1.35,0
1.36,0
1.37,0
1.38,0
1.39,0
1.4,0
1.41,0
1.42,0
1.43,0
1.44,0
1.45,0
1.46,0
1.47,0
1.48,0
1.49,0
1.5,0
1.51,0
1.52,0.02
1.53,0.04
1.54,0.04
1.55,0.04
1.56,0.04
1.57,0.04
1.58,0.04
1.59,0.04
1.6,0.04
1.61,0.04
1.62,0.06
1.63,0.08
1.64,0.08
1.65,0.08
1.66,0.08
1.67,0.1
1.68,0.1
1.69,0.1
1.7,0.1
1.71,0.1
1.72,0.1
1.73,0.12
1.74,0.12
1.75,0.12
1.76,0.12
1.77,0.12
1.78,0.12
1.79,0.12
1.8,0.12
1.81,0.12
1.82,0.12
1.83,0.12
1.84,0.12
1.85,0.12
1.86,0.12
1.87,0.12
1.88,0.12
1.89,0.12
1.9,0.12
1.91,0.12
1.92,0.14
1.93,0.14
1.94,0.14
1.95,0.16
1.96,0.16
1.97,0.16
1.98,0.16
1.99,0.16
2,0.16
2.01,0.16
2.02,0.16
2.03,0.16
2.04,0.16
2.05,0.16
2.06,0.16
2.07,0.18
2.08,0.18
2.09,0.18
2.1,0.18
2.11,0.18
2.12,0.18
2.13,0.2
2.14,0.2
2.15,0.2
2.16,0.2
2.17,0.2
2.18,0.2
2.19,0.2
2.2,0.2
2.21,0.2
2.22,0.2
2.23,0.2
2.24,0.2
2.25,0.2
2.26,0.2
2.27,0.2
2.28,0.2
2.29,0.2
2.3,0.2
2.31,0.2
2.32,0.2
2.33,0.2
2.34,0.2
2.35,0.24
2.36,0.24
2.37,0.24
2.38,0.24
2.39,0.26
2.4,0.26
2.41,0.26
2.42,0.3
2.43,0.3
2.44,0.3
2.45,0.3
2.46,0.3
2.47,0.3
2.48,0.32
2.49,0.32
2.5,0.32
2.51,0.32
2.52,0.32
2.53,0.32
2.54,0.32
2.55,0.36
2.56,0.36
2.57,0.36
2.58,0.38
2.59,0.38
2.6,0.38
2.61,0.38
2.62,0.38
2.63,0.38
2.64,0.38
2.65,0.4
2.66,0.4
2.67,0.4
2.68,0.42
2.69,0.42
2.7,0.44
2.71,0.44
2.72,0.44
2.73,0.46
2.74,0.48
2.75,0.48
2.76,0.48
2.77,0.48
2.78,0.5
2.79,0.52
2.8,0.52
2.81,0.52
2.82,0.52
2.83,0.56
2.84,0.56
2.85,0.58
2.86,0.58
2.87,0.58
2.88,0.58
2.89,0.58
2.9,0.58
2.91,0.58
2.92,0.58
2.93,0.58
2.94,0.58
2.95,0.58
2.96,0.58
2.97,0.58
2.98,0.58
2.99,0.6
3,0.6
3.01,0.6
3.02,0.6
3.03,0.6
3.04,0.6
3.05,0.6
3.06,0.6
3.07,0.6
3.08,0.62
3.09,0.62
3.1,0.62
3.11,0.62
3.12,0.62
3.13,0.62
3.14,0.62
3.15,0.62
3.16,0.62
3.17,0.62
3.18,0.64
3.19,0.64
3.2,0.64
3.21,0.64
3.22,0.64
3.23,0.64
3.24,0.66
3.25,0.7
3.26,0.7
3.27,0.7
3.28,0.7
3.29,0.7
3.3,0.7
3.31,0.7
3.32,0.7
3.33,0.7
3.34,0.7
3.35,0.7
3.36,0.7
3.37,0.7
3.38,0.7
3.39,0.7
3.4,0.7
3.41,0.7
3.42,0.7
3.43,0.7
3.44,0.7
3.45,0.72
3.46,0.72
3.47,0.72
3.48,0.72
3.49,0.72
3.5,0.72
3.51,0.72
3.52,0.72
3.53,0.72
3.54,0.72
3.55,0.72
3.56,0.72
3.57,0.72
3.58,0.72
3.59,0.72
3.6,0.72
3.61,0.72
3.62,0.72
3.63,0.74
3.64,0.74
3.65,0.74
3.66,0.76
3.67,0.76
3.68,0.76
3.69,0.76
3.7,0.76
3.71,0.76
3.72,0.76
3.73,0.76
3.74,0.76
3.75,0.76
3.76,0.76
3.77,0.8
3.78,0.82
3.79,0.84
3.8,0.84
3.81,0.84
3.82,0.84
3.83,0.84
3.84,0.84
3.85,0.86
3.86,0.86
3.87,0.86
3.88,0.86
3.89,0.86
3.9,0.86
3.91,0.86
3.92,0.86
3.93,0.86
3.94,0.86
3.95,0.86
3.96,0.86
3.97,0.86
3.98,0.86
3.99,0.86
4,0.86
4.01,0.86
4.02,0.86
4.03,0.86
4.04,0.86
4.05,0.86
4.06,0.86
4.07,0.86
4.08,0.86
4.09,0.86
4.1,0.86
4.11,0.86
4.12,0.86
4.13,0.86
4.14,0.86
4.15,0.86
4.16,0.86
4.17,0.86
4.18,0.86
4.19,0.86
4.2,0.86
4.21,0.86
4.22,0.86
4.23,0.86
4.24,0.86
4.25,0.86
4.26,0.86
4.27,0.86
4.28,0.86
4.29,0.86
4.3,0.86
4.31,0.86
4.32,0.86
4.33,0.86
4.34,0.86
4.35,0.86
4.36,0.86
4.37,0.86
4.38,0.86
4.39,0.86
4.4,0.86
4.41,0.86
4.42,0.86
4.43,0.86
4.44,0.86
4.45,0.86
4.46,0.88
4.47,0.88
4.48,0.88
4.49,0.88
4.5,0.88
4.51,0.88
4.52,0.9
4.53,0.9
4.54,0.9
4.55,0.9
4.56,0.9
4.57,0.9
4.58,0.9
4.59,0.9
4.6,0.9
4.61,0.9
4.62,0.9
4.63,0.9
4.64,0.9
4.65,0.9
4.66,0.9
4.67,0.9
4.68,0.9
4.69,0.9
4.7,0.92
4.71,0.92
4.72,0.92
4.73,0.92
4.74,0.92
4.75,0.92
4.76,0.92
4.77,0.92
4.78,0.92
4.79,0.92
4.8,0.92
4.81,0.92
4.82,0.92
4.83,0.92
4.84,0.92
4.85,0.92
4.86,0.94
4.87,0.94
4.88,0.94
4.89,0.94
4.9,0.94
4.91,0.96
4.92,0.96
4.93,0.98
4.94,0.98
4.95,0.98
4.96,0.98
4.97,0.98
4.98,0.98
4.99,0.98
5,1
