Var1,Var2
0,0
0.01,0
0.02,0
0.03,0
0.04,0
0.05,0
0.06,0
0.07,0
0.08,0
0.09,0
0.1,0
0.11,0
0.12,0
0.13,0
0.14,0
0.15,0
0.16,0
0.17,0
0.18,0
0.19,0
0.2,0
0.21,0
0.22,0
0.23,0
0.24,0
0.25,0
0.26,0
0.27,0
0.28,0
0.29,0
0.3,0
0.31,0
0.32,0
0.33,0
0.34,0
0.35,0
0.36,0
0.37,0
0.38,0
0.39,0
0.4,0
0.41,0
0.42,0
0.43,0
0.44,0
0.45,0
0.46,0
0.47,0
0.48,0
0.49,0
0.5,0
0.51,0
0.52,0
0.53,0
0.54,0
0.55,0
0.56,0
0.57,0
0.58,0
0.59,0
0.6,0
0.61,0
0.62,0
0.63,0
0.64,0
0.65,0
0.66,0
0.67,0
0.68,0
0.69,0
0.7,0
0.71,0
0.72,0
0.73,0
0.74,0
0.75,0
0.76,0
0.77,0
0.78,0
0.79,0
0.8,0
0.81,0
0.82,0
0.83,0
0.84,0
0.85,0
0.86,0
0.87,0
0.88,0
0.89,0
0.9,0
0.91,0
0.92,0
0.93,0
0.94,0
0.95,0
0.96,0
0.97,0
0.98,0
0.99,0
1,0
1.01,0
1.02,0
1.03,0
1.04,0
1.05,0
1.06,0
1.07,0
1.08,0
1.09,0
1.1,0
1.11,0
1.12,0
1.13,0
1.14,0
1.15,0
1.16,0
1.17,0
1.18,0
1.19,0
1.2,0
1.21,0
1.22,0
1.23,0
1.24,0.04
1.25,0.04
1.26,0.06
1.27,0.06
1.28,0.06
1.29,0.06
1.3,0.06
1.31,0.06
1.32,0.08
1.33,0.08
1.34,0.08
1.35,0.08
1.36,0.08
1.37,0.08
1.38,0.08
1.39,0.08
1.4,0.1
1.41,0.1
1.42,0.1
1.43,0.1
1.44,0.1
1.45,0.12
1.46,0.12
1.47,0.12
1.48,0.12
1.49,0.12
1.5,0.14
1.51,0.14
1.52,0.14
1.53,0.16
1.54,0.16
1.55,0.16
1.56,0.16
1.57,0.16
1.58,0.16
1.59,0.18
1.6,0.18
1.61,0.18
1.62,0.18
1.63,0.18
1.64,0.18
1.65,0.18
1.66,0.18
1.67,0.18
1.68,0.18
1.69,0.18
1.7,0.18
1.71,0.18
1.72,0.18
1.73,0.18
1.74,0.2
1.75,0.2
1.76,0.2
1.77,0.2
1.78,0.2
1.79,0.2
1.8,0.2
1.81,0.2
1.82,0.2
1.83,0.22
1.84,0.22
1.85,0.22
1.86,0.22
1.87,0.22
1.88,0.22
1.89,0.22
1.9,0.22
1.91,0.22
1.92,0.22
1.93,0.22
1.94,0.22
1.95,0.24
1.96,0.24
1.97,0.24
1.98,0.24
1.99,0.26
2,0.26
2.01,0.26
2.02,0.26
2.03,0.26
2.04,0.26
2.05,0.26
2.06,0.26
2.07,0.26
2.08,0.26
2.09,0.26
2.1,0.26
2.11,0.26
2.12,0.28
2.13,0.28
2.14,0.28
2.15,0.28
2.16,0.28
2.17,0.32
2.18,0.32
2.19,0.34
2.2,0.34
2.21,0.34
2.22,0.34
2.23,0.34
2.24,0.34
2.25,0.34
2.26,0.34
2.27,0.34
2.28,0.34
2.29,0.36
2.3,0.38
2.31,0.38
2.32,0.38
2.33,0.38
2.34,0.4
2.35,0.4
2.36,0.4
2.37,0.4
2.38,0.4
2.39,0.42
2.4,0.42
2.41,0.42
2.42,0.42
2.43,0.44
2.44,0.44
2.45,0.44
2.46,0.44
2.47,0.44
2.48,0.46
2.49,0.46
2.5,0.46
2.51,0.46
2.52,0.46
2.53,0.48
2.54,0.48
2.55,0.48
2.56,0.48
2.57,0.48
2.58,0.48
2.59,0.48
2.6,0.48
2.61,0.48
2.62,0.48
2.63,0.48
2.64,0.48
2.65,0.48
2.66,0.48
2.67,0.48
2.68,0.48
2.69,0.48
2.7,0.48
2.71,0.48
2.72,0.48
2.73,0.5
2.74,0.5
2.75,0.5
2.76,0.5
2.77,0.5
2.78,0.5
2.79,0.5
2.8,0.5
2.81,0.5
2.82,0.5
2.83,0.5
2.84,0.5
2.85,0.5
2.86,0.5
2.87,0.5
2.88,0.5
2.89,0.5
2.9,0.5
2.91,0.5
2.92,0.5
2.93,0.5
2.94,0.52
2.95,0.52
2.96,0.52
2.97,0.54
2.98,0.54
2.99,0.54
3,0.54
3.01,0.54
3.02,0.54
3.03,0.54
3.04,0.54
3.05,0.54
3.06,0.58
3.07,0.58
3.08,0.6
3.09,0.6
3.1,0.6
3.11,0.6
3.12,0.64
3.13,0.64
3.14,0.66
3.15,0.66
3.16,0.7
3.17,0.7
3.18,0.7
3.19,0.7
3.2,0.7
3.21,0.7
3.22,0.7
3.23,0.74
3.24,0.74
3.25,0.74
3.26,0.74
3.27,0.74
3.28,0.74
3.29,0.74
3.3,0.74
3.31,0.74
3.32,0.74
3.33,0.74
3.34,0.78
3.35,0.78
3.36,0.78
3.37,0.78
3.38,0.78
3.39,0.78
3.4,0.78
3.41,0.8
3.42,0.8
3.43,0.8
3.44,0.8
3.45,0.8
3.46,0.8
3.47,0.8
3.48,0.8
3.49,0.8
3.5,0.8
3.51,0.8
3.52,0.8
3.53,0.82
3.54,0.82
3.55,0.84
3.56,0.86
3.57,0.86
3.58,0.86
3.59,0.86
3.6,0.86
3.61,0.86
3.62,0.86
3.63,0.86
3.64,0.88
3.65,0.9
3.66,0.9
3.67,0.9
3.68,0.9
3.69,0.9
3.7,0.9
3.71,0.92
3.72,0.92
3.73,0.92
3.74,0.92
3.75,0.92
3.76,0.92
3.77,0.92
3.78,0.94
3.79,0.94
3.8,0.94
3.81,0.94
3.82,0.94
3.83,0.94
3.84,0.94
3.85,0.94
3.86,0.96
3.87,0.96
3.88,0.96
3.89,0.96
3.9,0.96
3.91,0.96
3.92,0.96
3.93,0.96
3.94,0.96
3.95,0.96
3.96,0.96
3.97,0.96
3.98,0.96
3.99,0.96
4,0.96
4.01,0.96
4.02,0.96
4.03,0.96
4.04,0.98
4.05,0.98
4.06,0.98
4.07,0.98
4.08,0.98
4.09,0.98
4.1,0.98
4.11,0.98
4.12,0.98
4.13,1
4.14,1
4.15,1
4.16,1
4.17,1
4.18,1
4.19,1
4.2,1
4.21,1
4.22,1
4.23,1
4.24,1
4.25,1
4.26,1
4.27,1
4.28,1
4.29,1
4.3,1
4.31,1
4.32,1
4.33,1
4.34,1
4.35,1
4.36,1
4.37,1
4.38,1
4.39,1
4.4,1
4.41,1
4.42,1
4.43,1
4.44,1
4.45,1
4.46,1
4.47,1
4.48,1
4.49,1
4.5,1
4.51,1
4.52,1
4.53,1
4.54,1
4.55,1
4.56,1
4.57,1
4.58,1
4.59,1
4.6,1
4.61,1
4.62,1
4.63,1
4.64,1
4.65,1
4.66,1
4.67,1
4.68,1
4.69,1
4.7,1
4.71,1
4.72,1
4.73,1
4.74,1
4.75,1
4.76,1
4.77,1
4.78,1
4.79,1
4.8,1
4.81,1
4.82,1
4.83,1
4.84,1
4.85,1
4.86,1
4.87,1
4.88,1
4.89,1
4.9,1
4.91,1
4.92,1
4.93,1
4.94,1
4.95,1
4.96,1
4.97,1
4.98,1
4.99,1
5,1
