9 1
3 3
19 9
1 4
6 7
8 7
13 9
5 4
10 2
16 4
20 3
11 9
18 10
6 10
12 7
12 3
10 5
15 1
10 8
17 3
1 1
7 3
14 4
17 12 7
18 9 4
19 15 3
20 7 10
21 1 10
22 11 5
23 8 8
24 16 4
0 3 1
24 3 1
25 6 7
26 11 5
0 6 6
26 6 6
27 2 4
28 3 6
0 8 8
28 8 8
29 14 6
30 18 1
0 13 1
30 13 1
31 3 10
32 3 3
33 17 9
0 20 2
33 20 2
34 8 2
35 17 3
36 4 7
0 1 4
36 1 4
37 18 1
38 1 7
39 10 4
0 1 5
39 1 5
40 18 5
41 8 4
42 11 3
0 8 5
42 8 5
43 3 3
44 20 9
45 10 7
0 15 10
45 15 10
46 14 8
47 16 10
48 9 7
0 7 2
48 7 2
49 2 6
50 18 1
